,x,y,z,rf
253,92,204,19,-27
254,93,204,19,-28
255,94,204,19,-29
256,95,204,19,-27
257,96,204,19,-24
258,97,204,19,-25
259,98,204,19,-26
260,99,204,19,-27
261,100,204,19,-26
262,101,204,19,-26
263,102,204,19,-25
264,103,204,19,-30
265,104,204,19,-22
266,105,204,19,-25
267,106,204,19,-24
268,107,204,19,-23
269,108,204,19,-23
270,109,204,19,-24
271,110,204,19,-25
272,111,204,19,-25
273,112,204,19,-30
274,113,204,19,-26
275,114,204,19,-26
276,115,204,19,-24
277,116,204,19,-21
278,117,204,19,-24
279,118,204,19,-20
280,119,204,19,-25
281,120,204,19,-24
282,121,204,19,-25
283,122,204,19,-32
284,123,204,19,-25
285,124,204,19,-23
286,125,204,19,-24
287,125,205,19,-27
288,124,205,19,-30
289,123,205,19,-25
290,122,205,19,-21
291,121,205,19,-29
292,120,205,19,-28
293,119,205,19,-28
294,118,205,19,-25
295,117,205,19,-22
296,116,205,19,-26
297,115,205,19,-26
298,114,205,19,-26
299,113,205,19,-32
300,112,205,19,-24
301,111,205,19,-29
302,110,205,19,-30
303,109,205,19,-29
304,108,205,19,-27
305,107,205,19,-22
306,106,205,19,-19
307,105,205,19,-28
308,104,205,19,-29
309,103,205,19,-29
310,102,205,19,-25
311,101,205,19,-26
312,100,205,19,-28
313,99,205,19,-29
314,98,205,19,-25
315,97,205,19,-31
316,96,205,19,-28
317,95,205,19,-28
318,94,205,19,-25
319,93,205,19,-25
320,92,205,19,-30
321,91,205,19,-26
322,90,205,19,-22
323,89,205,19,-23
324,88,205,19,-26
325,87,205,19,-24
326,86,205,19,-26
327,85,205,19,-20
328,85,206,19,-25
329,86,206,19,-26
330,87,206,19,-27
331,88,206,19,-27
332,89,206,19,-26
333,90,206,19,-24
334,91,206,19,-22
335,92,206,19,-25
336,93,206,19,-26
337,94,206,19,-27
338,95,206,19,-26
339,96,206,19,-31
340,97,206,19,-27
341,98,206,19,-27
342,99,206,19,-27
343,100,206,19,-23
344,101,206,19,-27
345,102,206,19,-27
346,103,206,19,-34
347,104,206,19,-30
348,105,206,19,-25
349,106,206,19,-23
350,107,206,19,-23
351,108,206,19,-24
352,109,206,19,-26
353,110,206,19,-31
354,111,206,19,-24
355,112,206,19,-27
356,113,206,19,-26
357,114,206,19,-26
358,115,206,19,-24
359,116,206,19,-26
360,117,206,19,-25
361,118,206,19,-29
362,119,206,19,-28
363,120,206,19,-29
364,121,206,19,-25
