,x,y,z,rf
1228,86,227,19,-22
1229,85,227,19,-27
1230,85,228,19,-19
1231,86,228,19,-20
1232,87,228,19,-22
1233,88,228,19,-27
1234,89,228,19,-22
1235,90,228,19,-24
1236,91,228,19,-22
1237,92,228,19,-25
1238,93,228,19,-22
1239,94,228,19,-27
1240,95,228,19,-20
1241,96,228,19,-22
1242,97,228,19,-25
1243,98,228,19,-24
1244,99,228,19,-23
1245,100,228,19,-24
1246,101,228,19,-26
1247,102,228,19,-23
1248,103,228,19,-26
1249,104,228,19,-25
1250,105,228,19,-29
1251,106,228,19,-31
1252,107,228,19,-26
1253,108,228,19,-30
1254,109,228,19,-31
1255,110,228,19,-23
1256,111,228,19,-26
1257,112,228,19,-23
1258,113,228,19,-27
1259,114,228,19,-22
1260,115,228,19,-23
1261,116,228,19,-25
1262,117,228,19,-23
1263,118,228,19,-23
1264,119,228,19,-31
1265,120,228,19,-25
1266,121,228,19,-22
1267,122,228,19,-28
1268,123,228,19,-27
1269,124,228,19,-27
1270,125,228,19,-24
1271,125,229,19,-29
1272,124,229,19,-22
1273,123,229,19,-28
1274,122,229,19,-26
1275,121,229,19,-22
1276,120,229,19,-25
1277,119,229,19,-26
1278,118,229,19,-24
1279,117,229,19,-30
1280,116,229,19,-27
1281,115,229,19,-20
1282,114,229,19,-27
1283,113,229,19,-26
1284,112,229,19,-32
1285,111,229,19,-22
1286,110,229,19,-24
1287,109,229,19,-30
1288,108,229,19,-30
1289,107,229,19,-22
1290,106,229,19,-27
1291,105,229,19,-27
1292,104,229,19,-26
1293,103,229,19,-27
1294,102,229,19,-26
1295,101,229,19,-23
1296,100,229,19,-25
1297,99,229,19,-24
1298,98,229,19,-26
1299,97,229,19,-23
1300,96,229,19,-26
1301,95,229,19,-26
1302,94,229,19,-23
1303,93,229,19,-25
1304,92,229,19,-22
1305,91,229,19,-24
1306,90,229,19,-24
1307,89,229,19,-25
1308,88,229,19,-24
1309,87,229,19,-25
1310,86,229,19,-24
1311,85,229,19,-27
1312,85,230,19,-26
1313,86,230,19,-20
1314,87,230,19,-22
1315,88,230,19,-21
1316,89,230,19,-22
1317,90,230,19,-21
1318,91,230,19,-26
1319,92,230,19,-23
1320,93,230,19,-24
1321,94,230,19,-24
1322,95,230,19,-24
1323,96,230,19,-25
1324,97,230,19,-25
1325,98,230,19,-26
1326,99,230,19,-24
1327,100,230,19,-27
1328,101,230,19,-29
1329,102,230,19,-27
1330,103,230,19,-26
1331,104,230,19,-26
1332,105,230,19,-23
1333,106,230,19,-27
1334,107,230,19,-25
1335,108,230,19,-28
1336,109,230,19,-30
1337,110,230,19,-22
1338,111,230,19,-27
1339,112,230,19,-25
1340,113,230,19,-29
1341,114,230,19,-27
1342,115,230,19,-26
1343,116,230,19,-24
1344,117,230,19,-27
1345,118,230,19,-28
1346,119,230,19,-30
1347,120,230,19,-24
1348,121,230,19,-28
1349,122,230,19,-26
1350,123,230,19,-23
1351,124,230,19,-24
1352,125,230,19,-28
